Item Name,Rarity,Attunement,Cost (gp),Note,Armor Cost,Rare Material,AC Bonus,Save Bonus,Set Score (Modifier),+2 Bonus To Score (Y/N),Weapon Bonus,Spell Level,Unlimited Charges (Y/N),Charges/Day (Unlimit = 7),Charges/Item (Destroyed),Spells Share Charges,"Condition (1Min, Save)",Consumable Damage (Avg),Consumable Save? (Y/N),Semi-Permanent Damage (Avg),Semi-Perm Save? (Y/N),Duration? (Minutes),Permanent Damage (Avg),Perm Save? (Y/N),Specific Situations (Y/N),Restore HP (Avg),Misc. Costs,2 Spell Level,2 Unlimited Charges (Y/N),2 Charges/Day (Unlimit = 7),3 Spell Level,3 Unlimited Charges (Y/N),3 Charges/Day (Unlimit = 7),MatCost,ACCost,SaveCost,SetScore Cost,BonusScore Cost,WeaponCost,Consum Spell Cost,PermCharges Cost,Charges - Destroyed,SpellShare ChargesCost,ConditionCost,ConsDMG Cost,Sm-PrDMG Cost,PerDMG Cost,AVGHP Cost,MiscCost,2 Consum Spell Cost,2 Perm Charges Cost,3 Consum Spell Cost,3 Perm Charges Cost,Source Sheet
Enspelled Staff (Cantrip),Uncommon,Yes,406,,0.2,,,,,,,0,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,30,240,,,,,,,,,,,,,DMG 2024
Enspelled Staff (1st),Uncommon,Yes,1216,,0.2,,,,,,,1,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,90,720,,,,,,,,,,,,,DMG 2024
Enspelled Staff (2nd),Rare,Yes,3241,,0.2,,,,,,,2,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,180,1440,,,,,,,,,,,,,DMG 2024
Enspelled Staff (3rd),Rare,Yes,5401,,0.2,,,,,,,3,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,300,2400,,,,,,,,,,,,,DMG 2024
Enspelled Staff (4th),Very Rare,Yes,12151,,0.2,,,,,,,4,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,450,3600,,,,,,,,,,,,,DMG 2024
Enspelled Staff (5th),Very Rare,Yes,17011,,0.2,,,,,,,5,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,630,5040,,,,,,,,,,,,,DMG 2024
Enspelled Staff (6th),Legendary,Yes,37801,,0.2,,,,,,,6,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,840,6720,,,,,,,,,,,,,DMG 2024
Enspelled Staff (7th),Legendary,Yes,48601,,0.2,,,,,,,7,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,1080,8640,,,,,,,,,,,,,DMG 2024
Enspelled Staff (8th),Legendary,Yes,60751,,0.2,,,,,,,8,N,6,,,,,,,,,,,,,,,,,,,,0.2,,,,,,1350,10800,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (Cantrip),Uncommon,Yes,405,Add weapon cost (use Armor Cost column),,,,,,,,0,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,30,240,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (1st),Uncommon,Yes,1215,Add weapon cost (use Armor Cost column),,,,,,,,1,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,90,720,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (2nd),Rare,Yes,3240,Add weapon cost (use Armor Cost column),,,,,,,,2,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,180,1440,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (3rd),Rare,Yes,5400,Add weapon cost (use Armor Cost column),,,,,,,,3,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,300,2400,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (4th),Very Rare,Yes,12150,Add weapon cost (use Armor Cost column),,,,,,,,4,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,450,3600,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (5th),Very Rare,Yes,17010,Add weapon cost (use Armor Cost column),,,,,,,,5,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,630,5040,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (6th),Legendary,Yes,37800,Add weapon cost (use Armor Cost column),,,,,,,,6,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,840,6720,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (7th),Legendary,Yes,48600,Add weapon cost (use Armor Cost column),,,,,,,,7,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,1080,8640,,,,,,,,,,,,,DMG 2024
Enspelled Weapon (8th),Legendary,Yes,60750,Add weapon cost (use Armor Cost column),,,,,,,,8,N,6,,,,,,,,,,,,,,,,,,,,,,,,,,1350,10800,,,,,,,,,,,,,DMG 2024
Enspelled Shortsword (Cantrip),Uncommon,Yes,420,Add weapon cost (use Armor Cost column),10,,,,,,,0,N,6,,,,,,,,,,,,,,,,,,,,10,,,,,,30,240,,,,,,,,,,,,,DMG 2024
Enspelled Glaive (8th),Legendary,Yes,60850,Add weapon cost (use Armor Cost column),20,,,,,,,8,N,6,,,,,,,,,,,,,,,,,,,,20,,,,,,1350,10800,,,,,,,,,,,,,DMG 2024
Ersatz Eye,Common,No,990,"based: lesser restoration (minus 1 level, lesser effect)",,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Eversmoking Bottle,Uncommon,No,2970,"based: fog cloud (plus 1 level, no concentration)",,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Executioner's Axe,Very Rare,No,3465,,,,,,,,1,,,,,,,,,,,,7,N,N,7,,,,,,,,,,,,,500,,,,,,,,499.8,49.98,,,,,,DMG 2024
Eye and Hand of Vecna,Artifact,Yes,-,"Artifact, not priced",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Eyes of Charming,Uncommon,Yes,810,based: charm person,,,,,,,,1,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,90,450,,,,,,,,,,,,,DMG 2024
Eyes of Minute Seeing,Uncommon,No,4950,"based: enhance ability (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Eyes of the Eagle,Uncommon,Yes,4500,"based: enhance ability (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Griffon",Rare,No,3960,"based: conjure animals (plus 1 level, no concentration)",,,,,,,,4,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,450,1350,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Fly",Rare,No,1584,based: conjure animals (minus 1 level),,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Lions",Rare,No,3300,price for all 2; based: conjure animals,,,,,,,,3,N,2,,,,,,,,,,,,,,,,,,,,,,,,,,300,1200,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Goats",Rare,No,2376,price for all 3; based: conjure animals (minus 1 level),,,,,,,,2,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,180,900,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Elephant",Rare,No,7392,based: conjure animals (plus 3 levels),,,,,,,,6,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,840,2520,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Steed",Very Rare,No,8316,based: conjure animals (plus 2 levels),,,,,,,,5,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,630,1890,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Dog",Rare,No,1584,based: conjure animals (minus 1 level),,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Owl",Rare,No,1584,based: conjure animals (minus 1 level),,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
"Figurine of Wondrous Power, Raven",Uncommon,No,1188,based: conjure animals (minus 1 level),,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
Flame Tongue,Rare,Yes,1600,based: light,,,,,,,,0,Y,,,,,,,,,,7,N,N,,,,,,,,,,,,,,,30,270,,,,,,499.8,,,,,,,DMG 2024
Folding Boat,Rare,No,8800,based on ships in DMG,,,,,,,,,,,,,,,,,,,,,,,4000,,,,,,,,,,,,,,,,,,,,,,4000,,,,,DMG 2024
Frost Brand,Very Rare,Yes,14143,"based: protection from energy (plus 1 level, no concentration)",,,,,,,,4,Y,,,,,,,,,,3,N,N,,,,,,,,,,,,,,,450,4050,,,,,,214.2,,,,,,,DMG 2024
Gauntlets of Ogre Power,Uncommon,Yes,9450,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,,,,,,,,,,,,,,,,,DMG 2024
Gem of Brightness,Uncommon,No,4851,based: light & color spray,,,,,,,,0,Y,,50,,Blinded,,,,,,,,,,,1,Y,,,,,,,,,,,30,270,1470,,270,,,,,,90,810,,,DMG 2024
Gem of Seeing,Rare,Yes,10080,based: true seeing,,,,,,,,6,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,840,4200,,,,,,,,,,,,,DMG 2024
Giant Slayer,Rare,No,1716,,,,,,,,1,,,,,,Prone,,,,,,7,N,Y,,,,,,,,,,,,,,500,,,,,30,,,249.9,,,,,,,DMG 2024
Glamoured Studded Leather,Rare,No,4158,based: disguise self,45,,1,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,45,945,,,,,90,810,,,,,,,,,,,,,DMG 2024
Gloves of Missile Snaring,Uncommon,Yes,2700,based: 2nd-level spell power as monks get it at 3rd level,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Gloves of Swimming and Climbing,Uncommon,Yes,9000,"based: alter self and spider climb (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,300,2700,,,,,,,,,300,2700,,,DMG 2024
Gloves of Thievery,Uncommon,No,4950,"based: enhanced ability (plus 1 level, no concentration)",,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Goggles of Night,Uncommon,No,2970,based: darkvision,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Hag Eye,Uncommon,No,6930,"based: scrying (minus 2 levels, very limited); true cost for players: 1980 w/out scry",,,,,,,,2,N,3,,4,,,,,,,,,,,,3,Y,,,,,,,,,,,180,900,,120,,,,,,,300,2700,,,DMG 2024
Hammer of Thunderbolts,Legendary,No,72545,"based: power word stun, additional 1260 gp for extra boost to STR",,,,,,Y,1,8,N,5,,,,,,,,,,,,,1260,,,,,,,,,,,630,500,1350,9450,,,,,,,,1260,,,,,DMG 2024
Hat of Disguise,Uncommon,Yes,2700,"based: disguise self (plus 1 level, no concentration)",,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Hat of Many Spells,Very Rare,Yes,21000,misc cost: 1000 gp for material cost * unlimited charges (7),,,,,,,,,,,,,,,,,,,,,,,7000,,,,,,,,,,,,,,,,,,,,,,7000,,,,,DMG 2024
Hat of Vermin,Common,No,594,based: conjure animals (minus 2 levels),,,,,,,,1,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,90,450,,,,,,,,,,,,,DMG 2024
Hat of Wizardy,Common,Yes,120,based: cantrip power,,,,,,,,0,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,30,90,,,,,,,,,,,,,DMG 2024
Headband of Intellect,Uncommon,Yes,9450,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,6300,,,,,,,,,,,,,,,,,DMG 2024
Helm of Brilliance,Very Rare,Yes,125850,"calculated with max jewels (Misc: 21,000 for x70 lv3 spells, 9,000 for x20 lv4 spells)",,,,,,,,7,,,10,,,,,,,,7,N,Y,,30000,1,Y,,,,,,,,,,,1080,,9720,,,,,249.9,,30000,90,810,,,DMG 2024
Helm of Comprehending Languages,Uncommon,No,1485,based: comprehend languages,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Helm of Telepathy,Uncommon,Yes,2430,based: detect thoughts & suggestion,,,,,,,,1,Y,,,,,,,,,,,,,,,2,N,1,,,,,,,,,,90,810,,,,,,,,,180,540,,,DMG 2024
Helm of Teleportation,Rare,Yes,12960,based: teleport,,,,,,,,7,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,1080,5400,,,,,,,,,,,,,DMG 2024
Heward's Handy Haversack,Rare,No,3960,based: floating disk x2,,,,,,,,1,Y,,,,,,,,,,,,,,,1,Y,,,,,,,,,,,90,810,,,,,,,,,90,810,,,DMG 2024
Heward's Handy Spice Pouch,Common,No,330,based: prestidigitation,,,,,,,,0,N,10,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Holy Avenger,Legendary,Yes,39464,"aura: similar auras at paladin 7th level, about 4th level spell power",,,,,,,3,4,Y,,,,,,,,,,11,N,Y,,,,,,,,,,,,,,3000,450,4050,,,,,,392.7,,,,,,,DMG 2024
Horn of Blasting,Rare,No,2005,"while it is consumable, it has (likely) multiple uses",,,,,,,,,,,,,,,,,,,17,Y,N,,,,,,,,,,,,,,,,,,,,,,911.2,,,,,,,DMG 2024
Horn of Silent Alarm,Common,No,693,based: message (plus 1 level),,,,,,,,1,N,4,,,,,,,,,,,,,,,,,,,,,,,,,,90,540,,,,,,,,,,,,,DMG 2024
"Horn of Valhalla, Silver",Rare,No,14520,"based: conjure animals, avg summoned 7",,,,,,,,9,N,1,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,0,,,,,,,,,,,,DMG 2024
"Horn of Valhalla, Brass",Rare,No,21780,"based: conjure animals, avg summoned 10",,,,,,,,9,N,1,3,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,3300,,,,,,,,,,,,DMG 2024
"Horn of Valhalla, Bronze",Very Rare,No,38115,"based: conjure animals, avg summoned 14",,,,,,,,9,N,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,4950,,,,,,,,,,,,DMG 2024
"Horn of Valhalla, Iron",Legendary,No,72600,"based: conjure animals, avg summoned 17",,,,,,,,9,N,1,5,,,,,,,,,,,,,,,,,,,,,,,,,1650,4950,6600,,,,,,,,,,,,DMG 2024
Horseshoes of a Zephyr,Very Rare,No,5940,based: freedom of movement minus 2 levels,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Horseshoes of Speed,Rare,No,3960,based: longstrider (plus 1 level),,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Immovable Rod,Uncommon,No,7425,based: lock (plus 2 levels),,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Instrument of Illusions,Common,Yes,300,based: minor illusion,,,,,,,,0,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,30,270,,,,,,,,,,,,,DMG 2024
Instrument of Scribing,Common,Yes,180,based: cantrip power,,,,,,,,0,N,3,,,,,,,,,,,,,,,,,,,,,,,,,,30,150,,,,,,,,,,,,,DMG 2024
"Instrument of the Bards, Anstruth Harp",Very Rare,Yes,42840,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,8,N,1,,,,,,,,,,,,,3000,5,N,1,6,N,1,,,,,,,1350,4050,,,,,,,,3000,630,1890,840,2520,DMG 2024
"Instrument of the Bards, Canaith Mandolin",Rare,Yes,13200,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,3,N,1,,,,,,,,,,,,,3000,3,N,1,3,N,1,,,,,,,300,900,,,,,,,,3000,300,900,300,900,DMG 2024
"Instrument of the Bards, Cli Lyre",Rare,Yes,15600,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,4,N,1,,,,,,,,,,,,,3000,4,N,1,3,N,1,,,,,,,450,1350,,,,,,,,3000,450,1350,300,900,DMG 2024
"Instrument of the Bards, Doss Lute",Uncommon,Yes,7920,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,1,N,1,,,,,,,,,,,,,3000,3,N,1,2,N,1,,,,,,,90,270,,,,,,,,3000,300,900,180,540,DMG 2024
"Instrument of the Bards, Fochlucan Bandore",Uncommon,Yes,6300,"Misc: 3360 for fly, invisibility, levitate, protection from evil and good, speak with animals",,,,,,,,1,N,1,,,,,,,,,,,,,3360,1,N,1,0,N,1,,,,,,,90,270,,,,,,,,3360,90,270,30,90,DMG 2024
"Instrument of the Bards, Mac-Fuirmidh Cittern",Uncommon,Yes,6660,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,2,N,1,,,,,,,,,,,,,3000,1,N,1,1,N,1,,,,,,,180,540,,,,,,,,3000,90,270,90,270,DMG 2024
"Instrument of the Bards, Ollamh Harp",Legendary,Yes,72600,"Misc: 3000 for fly, invisibility, levitate, protection from evil and good",,,,,,,,4,N,1,,,,,,,,,,,,,3000,8,N,1,7,N,1,,,,,,,450,1350,,,,,,,,3000,1350,4050,1080,3240,DMG 2024
"Ioun Stone, Absorption",Very Rare,Yes,6750,"based: counterspell (plus 1 level), charges based on highest level",,,,,,,,4,,,5,,,,,,,,,,,,,,,,,,,,,,,,,450,,1800,,,,,,,,,,,,DMG 2024
"Ioun Stone, Agility",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Awareness",Rare,Yes,1800,based: alarm,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Fortitude",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Greater Absorption",Legendary,Yes,47250,"based: counterspell (plus 5 levels), charges based on highest level",,,,,,,,8,,,7,,,,,,,,,,,,,,,,,,,,,,,,,1350,,8100,,,,,,,,,,,,DMG 2024
"Ioun Stone, Insight",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Intellect",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Leadership",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Mastery",Legendary,Yes,82500,based: wish,,,,,,,,9,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,1650,14850,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Protection",Rare,Yes,1800,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Regeneration",Legendary,Yes,15000,"based: cure wounds (plus 2 levels), 24 charges a day",,,,,,,,3,N,24,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Reserve",Rare,Yes,9000,based on 4th level spell power,,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Strength",Very Rare,Yes,1890,,,,,,,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,,630,,,,,,,,,,,,,,,,DMG 2024
"Ioun Stone, Sustenance",Rare,Yes,1800,based: goodberry,,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Iron Bands of Bilarro,Rare,No,1980,based on restrained multiplied by 10,,,,,,,,,,,,,,,,,,,,,,,900,,,,,,,,,,,,,,,,,,,,,,900,,,,,DMG 2024
Iron Flask,Legendary,No,24750,based: charm monster for an empty flask,,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Javelin of Lightning,Uncommon,No,1683,based: lightning bolt (minus 1 level) and permanent cantrip for magic weapon,,,,,,,,2,N,1,,,,,,,,,,,,,,0,Y,,,,,,,,,,,180,540,,,,,,,,,30,270,,,DMG 2024
Keoghtom's Ointment,Uncommon,No,1391,for 5 doses,,,,,,,,,,,,,Poisoned,,,,,,,,,55,,,,,,,,,,,,,,,,,,450,,,,392.7,,,,,,DMG 2024
Lantern of Revealing,Uncommon,No,4950,based: see invisibility (plus 1 level),,,,,,,,3,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,300,2700,,,,,,,,,,,,,DMG 2024
Lock of Trickery,Common,No,990,based: bane (sort of),,,,,,,,1,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,90,810,,,,,,,,,,,,,DMG 2024
Luck Blade,Legendary,Yes,37750,"based: x3 wishes & enhance ability (plus 1 level, no concentration)",,,,1,,,1,9,,,3,,,,,,,,,,,,,3,N,1,,,,,,900,,,500,1650,,3300,,,,,,,,300,900,,,DMG 2024
Lute of Thunderous Thumping,Very Rare,No,11550,treat weapon as if +3 weapon (as bard Cha bonus is typically at least that much higher than Str),,,,,,,3,,,,,,,,,,,,7,N,N,,,,,,,,,,,,,,3000,,,,,,,,499.8,,,,,,,DMG 2024
Mace of Disruption,Rare,Yes,1880,cantrip magic weapon and light,,,,,,,,0,Y,,,,Frightened,,,,,,7,N,Y,,,0,Y,,,,,,,,,,,30,270,,,90,,,249.9,,,30,270,,,DMG 2024
Mace of Smiting,Rare,No,8140,misc: halved cost of +3 weapon that deals 14,,,,,,,1,,,,,,,,,,,,7,N,Y,,2950,,,,,,,,,,,,500,,,,,,,,249.9,,2950,,,,,DMG 2024
Mace of Terror,Rare,Yes,4200,based: fear & cantrip for magic weapon,,,,,,,,3,N,3,,,,,,,,,,,,,,0,Y,,,,,,,,,,,300,1500,,,,,,,,,30,270,,,DMG 2024
Mantle of Spell Resistance,Rare,Yes,9000,based: circle of power (minus 1 level),,,,,,,,4,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,450,4050,,,,,,,,,,,,,DMG 2024
Manual of Bodily Health,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
Manual of Gainful Exercise,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
"Manual of Golems, Clay",Very Rare,No,16335,based: conjure elemental (9th-level),,,,,,,,9,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,1650,3300,0,,,,,,,,,,,,DMG 2024
"Manual of Golems, Flesh",Very Rare,No,6237,based: conjure elemental,,,,,,,,5,N,,1,,,,,,,,,,,,,,,,,,,,,,,,,630,1260,0,,,,,,,,,,,,DMG 2024
"Manual of Golems, Iron",Very Rare,No,27225,based: conjure elemental (x3 9th level),,,,,,,,9,N,,3,,,,,,,,,,,,,,,,,,,,,,,,,1650,3300,3300,,,,,,,,,,,,DMG 2024
"Manual of Golems, Stone",Very Rare,No,21780,based: conjure elemental (x2 9th level),,,,,,,,9,N,,2,,,,,,,,,,,,,,,,,,,,,,,,,1650,3300,1650,,,,,,,,,,,,DMG 2024
Manual of Quickness of Action,Very Rare,No,43659,"due to max increase, uses set score",,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,13230,,,,,,,,,,,,,,,,,DMG 2024
Mariner's Armor,Uncommon,No,2970,based: alter self,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Medallion of Thoughts,Uncommon,Yes,2160,based: detect thoughts,,,,,,,,2,N,5,,,,,,,,,,,,,,,,,,,,,,,,,,180,1260,,,,,,,,,,,,,DMG 2024
Mirror of Life Trapping,Very Rare,No,20790,based: banishment x12,,,,,,,,4,N,,12,,,,,,,,,,,,,,,,,,,,,,,,,450,900,4950,,,,,,,,,,,,DMG 2024
Mithral Chain Shirt,Uncommon,No,1733,,50,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Scale Mail,Uncommon,No,1733,,50,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1050,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Breastplate,Uncommon,No,2310,,400,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1400,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Half Plate,Uncommon,No,2888,,750,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1750,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Ring Mail,Uncommon,No,1700,,30,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1030,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Chain Mail,Uncommon,No,1774,,75,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1075,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Splint,Uncommon,No,1980,,200,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,1200,,,,,,,,,,,,,,,,,,,,DMG 2024
Mithral Plate,Uncommon,No,4125,,1500,Mithral,,,,,,,,,,,,,,,,,,,,,,,,,,,,2500,,,,,,,,,,,,,,,,,,,,DMG 2024
Moonblade,Legendary,Yes,-,"Not priced, more like an Artifact and it chooses its wielder",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DMG 2024
Moon-Touched Sword,Common,No,660,based: light,,,,,,,,0,Y,,,,,,,,,,,,,,,0,Y,,,,,,,,,,,30,270,,,,,,,,,30,270,,,DMG 2024
Mystery Key,Common,No,99,based: knock (minus 1 level),,,,,,,,1,,,1,,,,,,,,,,,,,,,,,,,,,,,,,90,,0,,,,,,,,,,,,DMG 2024
Nature's Mantle,Uncommon,Yes,2700,based: invisibility,,,,,,,,2,Y,,,,,,,,,,,,,,,,,,,,,,,,,,,180,1620,,,,,,,,,,,,,DMG 2024
Necklace of Adaption,Uncommon,Yes,9000,based: water breathing & protection from poison,,,,,,,,3,Y,,,,,,,,,,,,,,,3,Y,,,,,,,,,,,300,2700,,,,,,,,,300,2700,,,DMG 2024
Necklace of Fireballs,Rare,No,5940,based on 9 beads,,,,,,,,3,,,9,,,,,,,,,,,,,,,,,,,,,,,,,300,,2400,,,,,,,,,,,,DMG 2024
"Necklace of Prayer Beads, Blessing Bead",Rare,Yes,1440,based: bless (plus 1 level for BA cast),,,,,,,,2,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,180,540,,,,,,,,,,,,,DMG 2024
"Necklace of Prayer Beads, Curing Bead",Rare,Yes,2400,based: cure wounds & lesser restoration (plus 1 level for BA cast),,,,,,,,3,N,1,,,,,,,,,,,,,,,,,,,,,,,,,,300,900,,,,,,,,,,,,,DMG 2024
